Tenure,MonthlyCharges,TotalCharges,ContractType,SupportCalls,Churn
52,105.57,5521.82,0,0,0
15,103.02,1534.76,1,0,0
61,59.72,3649.34,0,3,0
21,86.81,1787.97,0,3,0
24,40.5,989.96,0,1,0
3,49.31,184.11,0,2,1
22,109.63,2399.07,0,0,0
53,21.3,1101.15,1,1,0
2,28.55,64.05,2,3,0
30,40.79,1260.03,2,3,0
38,22.65,824.58,1,0,0
2,38.14,48.63,0,0,0
64,78.3,5000.11,0,1,1
60,62.14,3708.04,0,2,0
21,109.27,2274.18,0,0,0
33,101.74,3305.21,0,1,0
58,54.18,3157.27,0,2,0
22,45.94,1019.2,0,0,0
49,57.97,2798.02,0,0,0
59,79.03,4699.17,2,0,0
42,46.81,2007.89,1,2,0
60,82.41,4926.12,0,2,0
15,60.94,943.28,2,2,0
62,75.2,4648.37,2,1,0
62,63.61,3948.51,0,4,1
47,49.45,2303.1,0,2,0
62,114.85,7175.77,0,2,1
51,96.36,4906.99,2,1,0
55,34.01,1873.78,2,1,0
64,106.85,6821.0,0,2,0
3,68.74,252.76,0,2,1
51,109.46,5629.38,1,1,0
7,99.99,740.67,0,2,1
21,62.52,1336.86,0,2,1
39,22.25,852.01,2,0,0
18,46.87,864.32,1,1,0
4,74.16,296.48,2,0,0
60,83.35,5033.68,2,3,0
14,45.79,668.94,1,1,0
9,33.94,289.19,0,2,0
53,103.49,5508.83,1,2,0
2,118.44,253.93,0,0,0
60,72.57,4284.8,1,4,0
71,37.17,2658.95,0,2,1
44,47.23,2067.36,1,1,0
8,21.84,152.56,0,0,0
47,111.43,5216.12,0,1,1
35,31.78,1108.75,0,1,1
36,77.65,2807.46,0,0,1
50,47.41,2336.14,1,3,0
4,75.42,306.42,1,2,0
2,85.14,184.7,0,0,1
6,102.97,664.39,0,2,1
54,40.64,2167.76,0,1,0
4,21.1,75.66,0,0,0
54,33.69,1825.72,0,2,0
63,110.0,6958.8,2,4,0
18,107.39,1925.4,0,3,1
44,79.74,3538.58,0,2,0
34,80.05,2673.32,0,2,1
62,86.5,5331.89,0,1,1
14,37.54,534.24,0,1,0
48,111.44,5313.91,1,3,0
15,61.88,898.79,0,2,1
62,58.31,3602.26,0,1,0
40,71.89,2894.96,0,2,0
53,24.7,1261.52,0,2,0
24,36.63,883.34,0,0,0
26,93.8,2464.71,2,2,0
60,28.28,1691.92,1,0,0
41,80.32,3283.7,1,1,0
29,44.53,1301.56,0,3,0
15,58.93,879.14,0,4,0
45,48.87,2233.88,0,3,0
65,55.57,3584.09,1,1,0
71,91.9,6523.93,1,2,0
9,49.71,452.55,0,0,0
1,76.64,67.18,0,3,1
8,67.61,469.06,0,1,0
63,86.37,5437.11,2,1,0
11,113.68,1273.02,1,0,0
8,93.26,765.51,0,0,1
35,41.49,1461.16,0,1,0
35,23.12,781.69,1,1,0
33,46.23,1535.35,0,1,1
5,79.51,383.2,0,1,1
41,25.14,1039.68,0,1,0
28,69.64,1952.86,1,0,0
7,79.68,533.38,0,3,0
12,53.42,618.78,0,1,0
34,97.09,3309.98,2,0,1
33,30.66,1006.25,0,0,0
48,27.51,1299.65,0,0,0
23,92.82,2111.76,0,2,1
62,69.55,4304.45,0,3,0
37,88.84,3326.29,1,0,0
44,63.48,2780.09,0,0,0
35,44.64,1562.06,0,0,0
65,101.91,6626.71,1,1,0
47,99.94,4668.98,1,4,1
3,89.47,224.34,1,1,0
1,47.21,21.55,0,0,1
5,79.02,401.29,0,0,0
14,56.1,787.55,1,2,0
27,29.16,804.83,0,1,0
9,111.73,1008.0,2,0,1
15,33.68,502.49,2,1,0
42,115.02,4815.9,2,0,0
51,64.6,3316.74,0,3,0
63,38.51,2403.36,0,1,0
52,74.19,3830.12,1,0,0
4,107.29,443.35,0,0,1
23,93.22,2110.79,0,3,1
15,100.66,1570.21,2,1,0
43,85.88,3694.77,2,1,0
29,89.23,2596.3,0,2,1
36,104.92,3756.89,0,2,1
13,44.97,576.69,0,1,0
32,68.94,2195.49,2,1,0
71,42.12,2977.04,2,2,0
59,118.77,7023.07,0,2,0
28,114.41,3192.13,0,2,1
66,23.94,1605.65,2,1,0
42,90.56,3870.0,0,2,0
45,112.52,5056.23,0,2,1
62,38.06,2363.38,2,2,0
57,76.79,4386.77,0,0,0
6,111.55,714.58,1,4,1
28,23.39,652.98,0,2,1
28,89.74,2492.05,0,1,1
44,49.73,2156.68,2,2,0
30,112.44,3371.74,0,2,1
62,117.11,7249.35,2,0,0
62,114.43,7144.7,1,1,0
1,67.42,111.67,0,2,1
27,106.2,2841.66,0,1,1
62,104.45,6458.44,0,3,1
3,51.91,157.57,0,1,1
70,102.89,7237.34,0,1,0
27,23.7,641.35,0,2,0
9,79.63,700.46,0,0,0
62,43.0,2664.58,1,1,0
37,32.06,1170.39,1,1,0
51,27.7,1427.52,1,2,0
44,89.63,3925.94,0,1,1
24,53.99,1282.94,0,2,0
59,92.48,5485.17,1,2,0
32,26.54,829.93,0,0,1
52,51.53,2643.36,0,4,0
62,73.95,4587.22,2,3,0
58,99.07,5737.18,1,0,0
52,51.88,2710.3,0,1,0
12,82.59,999.01,0,1,0
39,108.6,4234.52,1,2,0
2,81.59,161.65,1,1,0
3,43.3,111.49,1,0,0
56,22.44,1258.73,1,0,0
59,107.01,6335.62,2,1,0
2,22.13,19.92,0,1,0
2,107.47,214.81,0,1,0
54,72.89,3962.22,1,4,0
1,113.91,126.54,1,0,0
19,99.88,1930.42,1,3,0
2,119.79,225.38,0,4,1
53,55.07,2873.0,0,1,0
44,96.72,4260.64,2,1,0
32,60.19,1935.24,1,1,0
70,67.99,4793.34,2,0,0
32,82.75,2677.72,1,3,0
68,107.37,7314.42,1,2,0
55,118.41,6531.59,1,1,0
56,96.83,5417.54,2,3,0
17,61.78,1019.73,1,4,1
38,62.14,2364.1,1,0,0
24,93.76,2274.76,0,3,1
69,43.88,3043.97,0,1,1
70,31.05,2194.16,1,2,0
11,55.46,599.39,0,1,0
16,48.72,772.94,0,1,0
59,49.63,2940.3,0,3,0
70,43.36,3021.59,0,2,0
3,24.21,59.74,0,2,0
20,21.79,443.2,0,0,1
59,118.77,7026.58,2,1,0
36,62.78,2255.0,0,1,0
19,58.43,1081.14,0,2,1
67,87.96,5875.24,0,3,1
19,41.83,799.77,1,3,0
20,115.0,2304.71,0,2,1
71,98.63,7009.08,2,0,0
52,28.94,1517.97,1,2,0
33,61.76,2038.16,1,0,0
40,107.91,4323.1,0,2,0
39,114.47,4463.33,1,3,0
1,66.74,95.46,0,1,0
11,81.34,930.56,2,3,0
57,36.7,2062.37,1,1,0
50,119.12,5949.46,0,0,0
23,43.17,993.66,0,3,1
31,114.27,3535.8,0,0,0
42,84.96,3613.34,1,2,0
7,80.77,571.01,0,2,1
16,71.27,1120.17,1,4,0
